ISBN,Average_Rating
0195153448,
0002005018,3.85
0060973129,3.75
0374157065,3.9
0393045218,
0399135782,4.1
0425176428,4.0
0671870432,4.0
0679425608,
074322678X,2.5
0771074670,3.0
080652121X,
0887841740,2.5
1552041778,2.5
1558746218,4.5
1567407781,3.0
1575663937,3.0
1881320189,3.5
0440234743,3.85
0452264464,3.9
0609804618,4.15
1841721522,4.6
1879384493,5.0
0061076031,2.5
0439095026,3.25
0689821166,3.0
0971880107,2.2
0345402871,3.75
0345417623,3.95
0684823802,4.15
0375759778,3.3
0425163091,3.85
3404921038,3.75
3442353866,
3442410665,
3442446937,
0375406328,3.5
0446310786,4.45
0449005615,4.25
0060168013,4.25
038078243X,3.25
055321215X,
067176537X,4.0
0061099686,3.45
0553582909,3.6
0671888587,3.8
0553582747,4.0
0425182908,2.65
042518630X,3.75
0440223571,3.6
0812523873,
0842342702,3.9
0440225701,3.8
0060914068,4.1
0156047624,4.85
0245542957,3.0
0380715899,4.15
0553280333,
0961769947,
0964778319,5.0
0671623249,4.25
0679810307,3.75
0679865691,3.5
2070423204,3.5
0345260317,2.85
0394743741,3.5
042511774X,3.7
0804106304,4.1
1853262404,3.5
0312970242,3.5
1853260053,4.35
1414035004,5.0
0060938412,3.15
0140067477,4.0
0345465083,4.1
0451625889,
1558531025,3.85
0441783589,3.9
0394895894,4.0
1569871213,3.5
0375410538,3.65
0966986105,5.0
087113375X,3.55
0340767936,3.4
0743403843,3.75
0060930365,2.25
0060177586,
0071416331,4.0
0375509038,4.0
0553062042,3.5
0316769487,3.85
8445071408,4.05
8445071769,4.3
8445071777,4.65
0679429220,3.9
0671867156,4.05
0312252617,3.8
0312261594,3.3
0316748641,3.5
0316973742,3.0
0385235941,3.0
0446677450,4.1
0451166892,4.2
0553347594,3.9
0671621009,2.75
067976397X,4.0
0684822733,
0786868716,4.0
8472238822,3.5
0671864769,3.35
0671521519,2.5
0440222303,3.0
0312953453,3.5
0446608653,3.95
0446612545,3.9
0446612618,3.4
0451208080,3.6
0553584383,3.55
0671027360,4.05
0812575954,3.1
0316735736,3.95
0743439740,4.25
0345372700,4.75
0380619458,3.9
0446325805,4.0
0451406923,4.75
0671042858,3.55
0743249992,4.3
0840734530,5.0
0425184226,3.8
0375500766,3.8
9724119378,3.85
0451205197,3.25
0060929790,4.1
0060976845,3.8
0061099325,3.75
0671004573,3.8
0446601640,3.45
0330484516,
038572179X,3.8
0393020371,3.75
1900850303,2.0
1903019699,
0345425294,4.35
0451410319,3.8
0553583468,3.75
8420639133,
8476409419,4.0
0380778556,4.0
0451525221,3.45
0002740230,3.5
0385336772,4.1
0440949424,3.6
0505524996,4.0
0140252800,3.8
0451452755,0.5
0812575482,3.95
044651747X,3.3
0060801263,4.65
0061030147,2.85
0140250964,4.15
0446527165,3.75
0671461494,4.15
0385337639,4.15
039575514X,4.25
0451206673,3.95
0330332775,3.75
0486284735,4.4
0671021745,2.75
0671047612,3.0
0671504282,3.0
0399138684,3.95
0785263292,2.5
0830714014,
0345354931,3.95
0553278223,4.3
3150000335,4.0
3257203659,3.85
3257207522,5.0
3257208626,3.95
3257208634,5.0
3257208669,4.5
3257210450,5.0
3257212054,5.0
3257212429,5.0
3257214154,4.5
3257216416,3.75
3257233051,4.05
342311360X,4.75
3423116714,
